x,y,
1.66E+12,2.4875,3/10/2022 13:00
1.66E+12,2.494618056,3/10/2022 13:30
1.66E+12,2.501388889,3/10/2022 14:00
1.66E+12,2.505208333,3/10/2022 14:30
1.66E+12,2.515104167,3/10/2022 15:00
1.66E+12,2.528125,3/10/2022 15:30
1.66E+12,2.536284722,3/10/2022 16:00
1.66E+12,2.546354167,3/10/2022 16:30
1.66E+12,2.559548611,3/10/2022 17:00
1.66E+12,2.575347222,3/10/2022 17:30
1.66E+12,2.589756944,3/10/2022 18:00
1.66E+12,2.599479167,3/10/2022 18:30
1.66E+12,2.618576389,3/10/2022 19:00
1.66E+12,2.635243056,3/10/2022 19:30
1.66E+12,2.654513889,3/10/2022 20:00
1.66E+12,2.684548611,3/10/2022 20:30
1.66E+12,2.705034722,3/10/2022 21:00
1.66E+12,2.729861111,3/10/2022 21:30
1.66E+12,2.761111111,3/10/2022 22:00
1.66E+12,2.783506944,3/10/2022 22:30
1.66E+12,2.810243056,3/10/2022 23:00
1.66E+12,2.834548611,3/10/2022 23:30
1.66E+12,2.864930556,4/10/2022 0:00
1.66E+12,2.895659722,4/10/2022 0:30
1.66E+12,2.922569444,4/10/2022 1:00
1.66E+12,2.945138889,4/10/2022 1:30
1.66E+12,2.965104167,4/10/2022 2:00
1.66E+12,2.989236111,4/10/2022 2:30
1.66E+12,3.011111111,4/10/2022 3:00
1.66E+12,3.036979167,4/10/2022 3:30
1.66E+12,3.055381944,4/10/2022 4:00
1.66E+12,3.077430556,4/10/2022 4:30
1.66E+12,3.101909722,4/10/2022 5:00
1.66E+12,3.1140625,4/10/2022 5:30
1.66E+12,3.129166667,4/10/2022 6:00
1.66E+12,3.143923611,4/10/2022 6:30
1.66E+12,3.161111111,4/10/2022 7:00
1.66E+12,3.175,4/10/2022 7:30
1.66E+12,3.188541667,4/10/2022 8:00
1.66E+12,3.199652778,4/10/2022 8:30
1.66E+12,3.205729167,4/10/2022 9:00
1.66E+12,3.209201389,4/10/2022 9:30
1.66E+12,3.214583333,4/10/2022 10:00
1.66E+12,3.220659722,4/10/2022 10:30
1.66E+12,3.225173611,4/10/2022 11:00
1.66E+12,3.225868056,4/10/2022 11:30
1.66E+12,3.230208333,4/10/2022 12:00
1.66E+12,3.230555556,4/10/2022 12:30
1.66E+12,3.228645833,4/10/2022 13:00
1.66E+12,3.228298611,4/10/2022 13:30
1.66E+12,3.230729167,4/10/2022 14:00
1.66E+12,3.234201389,4/10/2022 14:30
1.66E+12,3.240104167,4/10/2022 15:00
1.66E+12,3.245659722,4/10/2022 15:30
1.66E+12,3.253472222,4/10/2022 16:00
1.66E+12,3.252083333,4/10/2022 16:30
1.66E+12,3.259027778,4/10/2022 17:00
1.66E+12,3.266493056,4/10/2022 17:30
1.66E+12,3.279340278,4/10/2022 18:00
1.66E+12,3.293229167,4/10/2022 18:30
1.66E+12,3.300694444,4/10/2022 19:00
1.66E+12,3.303298611,4/10/2022 19:30
1.66E+12,3.305555556,4/10/2022 20:00
1.66E+12,3.298090278,4/10/2022 20:30
1.66E+12,3.299131944,4/10/2022 21:00
1.66E+12,3.299652778,4/10/2022 21:30
