,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
MLPSimpleLayers_2,0.9042880447448148,0.9287993730606888,0.9042880447448148,0.9136735314245832,0.8701251363035651,0.9042880447448148,0.9042880447448148,0.8895729215594167,0.9042880447448148,0.9008037245268218
AdvSimpleLayers_2,0.9122116056863202,0.931555610438562,0.9122116056863202,0.918952330869482,0.8823195649331954,0.9122116056863202,0.9122116056863202,0.8997062264641198,0.9122116056863202,0.9095730300940964
WhtSimpleLayers_2,0.8952575157305992,0.922645875066212,0.8952575157305992,0.9063429555353788,0.8578322192077372,0.8952575157305992,0.8952575157305992,0.8782950434874874,0.8952575157305991,0.8909537629023504
QVKSimpleLayers_2,0.9119436028897692,0.9307003996733038,0.9119436028897692,0.9184255197988154,0.8823140963775595,0.9119436028897692,0.9119436028897692,0.8994764941159588,0.9119436028897692,0.9093394650580164
LSTMSimpleLayers_2,0.8908879049172687,0.9042358525477838,0.8908879049172687,0.8954385255770132,0.859940513007633,0.8908879049172687,0.8908879049172687,0.875589753166402,0.8908879049172687,0.8877442958780132
TransformerSimpleLayers_2,0.8912374737823351,0.9111411548520398,0.8912374737823351,0.8987383137163444,0.8566379970584028,0.8912374737823351,0.8912374737823351,0.8747463353504583,0.8912374737823351,0.8874086063814851
rotationForest_2,0.9100792356094152,0.9042111843022528,0.9100792356094152,0.9097437200575464,0.8999603643797982,0.9100792356094152,0.9100792356094152,0.9020043797457032,0.9100792356094152,0.9098415952399737
randomForest_2,0.945642041482172,0.9492376504854604,0.945642041482172,0.946238801201638,0.9326944907268092,0.945642041482172,0.945642041482172,0.9400130885903564,0.945642041482172,0.945132654326722
xgBoost_2,0.9469354462829176,0.9499944181093684,0.9469354462829176,0.9474130665045672,0.9346845135788948,0.9469354462829176,0.9469354462829176,0.941517127875634,0.9469354462829176,0.9464766253535511
lightGBM_2,0.9450128175250524,0.9484286388201104,0.9450128175250524,0.9455749600232956,0.9320967856919268,0.9450128175250524,0.9450128175250524,0.9393301721826209,0.9450128175250524,0.9445032942133668
deepForest_2,0.9449195991610349,0.9496292209054382,0.9449195991610349,0.9457765092621959,0.9309257640554796,0.9449195991610349,0.9449195991610349,0.9390807397520718,0.9449195991610349,0.9443352517197146
deepForestCost_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgBoostAdv0LayerSimpleLayers_2,0.8182358424609648,0.8184966618270504,0.8182358424609648,0.8574728558464718,0.845298118936095,0.8182358424609648,0.8182358424609648,0.8146877548591802,0.8182358424609648,0.8218317358746472
xgBoostLSTM0Layer_2,0.8950244698205546,0.8823688415725511,0.8950244698205546,0.9027484261233164,0.9021377062387004,0.8950244698205546,0.8950244698205546,0.8893841590913923,0.8950244698205546,0.8963432297108397
xgBoostLSTM0LayerSimpleLayers_2,0.8941971568398974,0.881575552463723,0.8941971568398974,0.9026350472742136,0.9021523484252172,0.8941971568398974,0.8941971568398974,0.8886712161357857,0.8941971568398973,0.895581532152277
MLPSimpleLayers_4,0.7472617105569798,0.6377670467511933,0.7472617105569798,0.7462755271729269,0.4622545026909325,0.7472617105569798,0.7472617105569798,0.48545625130776204,0.7472617105569799,0.7178178449928523
AdvSimpleLayers_4,0.757189466324866,0.5772342609713127,0.757189466324866,0.7332375622495974,0.5079166051303037,0.757189466324866,0.757189466324866,0.523973338405633,0.757189466324866,0.7298672394879946
WhtSimpleLayers_4,0.7398974597995805,0.5696019913548939,0.7398974597995805,0.7214752245740699,0.4625309074472848,0.7398974597995805,0.7398974597995805,0.4835348772315005,0.7398974597995804,0.7128126151180078
QVKSimpleLayers_4,0.7432533209042181,0.6414349873745315,0.7432533209042181,0.7101402344066421,0.4387450154360318,0.7432533209042181,0.7432533209042181,0.4712208487172477,0.7432533209042181,0.6990250777692671
LSTMSimpleLayers_4,0.7595432300163132,0.5922781423322102,0.7595432300163132,0.7441537626820997,0.546500753663591,0.7595432300163132,0.7595432300163132,0.5409215335632476,0.7595432300163132,0.7349397797439701
TransformerSimpleLayers_4,0.7432766254952226,0.5899902164311828,0.7432766254952226,0.7477468010925427,0.5140802516840857,0.7432766254952226,0.7432766254952226,0.4956901256289726,0.7432766254952226,0.71211068667318
