,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
MLP_2,0.9185863164896894,0.9382897055815944,0.9185863164896894,0.9248777639377116,0.8861081064526972,0.9185863164896894,0.9185863164896894,0.9051052885798051,0.9185863164896894,0.9160251106446669
Adv_2,0.9182167582349898,0.9409078072412316,0.9182167582349898,0.9257975122610956,0.8840249629699242,0.9182167582349898,0.9182167582349898,0.9042530916233796,0.9182167582349898,0.915416457750348
Wht_2,0.9021286555470694,0.9319205075765756,0.9021286555470694,0.9134808377124508,0.8604268339488145,0.9021286555470694,0.9021286555470694,0.8835659249719807,0.9021286555470694,0.897759573032111
QVK_2,0.919584123777378,0.932305804643625,0.919584123777378,0.9231178416354344,0.8915509325368148,0.919584123777378,0.919584123777378,0.9073008533920814,0.9195841237773782,0.9176030047703958
LSTM_2,0.922060164083865,0.9410353663536736,0.922060164083865,0.9279640057150906,0.8908349021895168,0.922060164083865,0.922060164083865,0.9093655080010488,0.9220601640838652,0.9197214658811882
Transformer_2,0.9239449111828328,0.9300159114437684,0.9239449111828328,0.9252765996613876,0.9016853884730656,0.9239449111828328,0.9239449111828328,0.9134516410777042,0.9239449111828328,0.922652278107546
randomForest_2,0.962181871935746,0.9599315833411064,0.962181871935746,0.9621026808391424,0.9564197885408472,0.962181871935746,0.962181871935746,0.9581360728816996,0.962181871935746,0.9621094079488848
xgBoost_2,0.9693513020769174,0.9697193461016584,0.9693513020769174,0.9693761190129628,0.9624846811821616,0.9693513020769174,0.9693513020769174,0.9659431599818464,0.9693513020769174,0.969232388707868
deepForest_2,0.962305058020646,0.9604282938682306,0.962305058020646,0.9622258561944582,0.956165770424088,0.962305058020646,0.962305058020646,0.9582390933178336,0.962305058020646,0.9622174142493182
xgBoostAdv0Layer_2,0.8392421592056961,0.8332861970150138,0.8392421592056961,0.8755094713095993,0.8668637116925281,0.8392421592056961,0.8392421592056961,0.8342120778084174,0.8392421592056961,0.8430285938869292
xgBoostAdv1Layer_2,0.8587055606198724,0.8484897416501318,0.8587055606198724,0.8863242989343592,0.8817000621880803,0.8587055606198724,0.8587055606198724,0.8531875138059717,0.8587055606198724,0.8618772629631527
xgBoostAdv2Layer_2,0.9169479415605212,0.903710322770769,0.9169479415605212,0.9203136195362154,0.918829412754386,0.9169479415605212,0.9169479415605212,0.9101874416920064,0.9169479415605212,0.9177104404681052
xgBoostAdv3Layer_2,0.9208036660178868,0.908866993366036,0.9208036660178868,0.9227835657154324,0.9199749837281682,0.9208036660178868,0.9208036660178868,0.9138775796713096,0.9208036660178868,0.9213340813008464
xgBoostAdv4Layer_2,0.9192268841311686,0.9077453700375008,0.9192268841311686,0.9207211039771934,0.9168425548287632,0.9192268841311686,0.9192268841311686,0.911936445881063,0.9192268841311686,0.9196722947311128
xgBoostAdv6Layer_2,0.9096553253344504,0.90244631991742,0.9096553253344504,0.9092387465542691,0.8972164919558885,0.9096553253344504,0.9096553253344504,0.8997267684644226,0.9096553253344504,0.90935992511439
xgBoostAdv7Layer_2,0.9195471679519082,0.9230121097530064,0.9195471679519082,0.9202449795861436,0.8983162561426077,0.9195471679519082,0.9195471679519082,0.9087631067128326,0.9195471679519082,0.9183396653050161
xgBoostLSTM0Layer_2,0.8970287516322156,0.8823539222873242,0.8970287516322156,0.9101300770516276,0.9106863672412928,0.8970287516322156,0.8970287516322156,0.8911014144620959,0.8970287516322156,0.8988580607699393
xgBoostLSTM1Layer_2,0.9206804799329869,0.9069132509072664,0.9206804799329869,0.9256505932561656,0.92615995359604,0.9206804799329869,0.9206804799329869,0.9146986372441709,0.9206804799329869,0.9215951339274109
xgBoostLSTM2Layer_2,0.94264455887063,0.934958339426594,0.94264455887063,0.9430493716514066,0.9393203340203522,0.94264455887063,0.94264455887063,0.9370684761540587,0.94264455887063,0.9427876300212784
xgBoostLSTM3Layer_2,0.9498879006627412,0.9474364749451959,0.9498879006627412,0.9497444879745092,0.9415431831498,0.9498879006627412,0.9498879006627412,0.9443759729417996,0.9498879006627412,0.9497218137743824
xgBoostLSTM4Layer_2,0.940870679248072,0.9347009877698438,0.940870679248072,0.9408856518046445,0.9349170775426222,0.940870679248072,0.940870679248072,0.9348088650499499,0.940870679248072,0.940878025714338
xgBoostLSTM6Layer_2,0.9276774495552982,0.9259160856453458,0.9276774495552982,0.9274681599944982,0.9133127586952456,0.9276774495552982,0.9276774495552982,0.9190838735693934,0.9276774495552982,0.9271346460976364
xgBoostLSTM7Layer_2,0.9299317549089656,0.9338168256384294,0.9299317549089656,0.9306598553774772,0.9108756841331604,0.9299317549089656,0.9299317549089656,0.9207419662294858,0.9299317549089656,0.9289815915327282
MLP_4,0.8480869201015053,0.8185477043730904,0.8480869201015053,0.8376711599742466,0.6322636372792733,0.8480869201015053,0.8480869201015053,0.6877829983088476,0.8480869201015053,0.8341016310971305
Adv_4,0.8044790460469585,0.5357740305968903,0.8044790460469585,0.765294969227721,0.4930724866537932,0.8044790460469585,0.8044790460469585,0.5080817216402072,0.8044790460469585,0.7785577267510957
Wht_4,0.8155288378624751,0.7652810110526491,0.8155288378624751,0.7991660166518939,0.5223328065627416,0.8155288378624751,0.8155288378624751,0.5514326783670928,0.8155288378624752,0.791950385169985
QVK_4,0.8486412574835547,0.7156552189595767,0.8486412574835547,0.8367687313854101,0.6547492577166807,0.8486412574835547,0.8486412574835547,0.6782992399228077,0.8486412574835547,0.8389681235981817
LSTM_4,0.8759885683313213,0.6177345153597199,0.8759885683313213,0.8479584430708158,0.604700050662562,0.8759885683313213,0.8759885683313213,0.6099393015668133,0.8759885683313213,0.8603628845302482
Transformer_4,0.8705806992042179,0.612184050457016,0.8705806992042179,0.8427831179738237,0.6028662638252174,0.8705806992042179,0.8705806992042179,0.6065108816233049,0.8705806992042179,0.8553484538439725
randomForest_4,0.8734509349823844,0.7172941633386223,0.8734509349823844,0.8873645855513607,0.7902268155045034,0.8734509349823844,0.8734509349823844,0.7295050079992095,0.8734509349823844,0.876103544162837
xgBoost_4,0.8868043065855281,0.7374807278607037,0.8868043065855281,0.8999140285592521,0.7991800653311331,0.8868043065855281,0.8868043065855281,0.7448421168679815,0.886804306585528,0.8886135681228429
deepForest_4,0.8755081426002119,0.7200169154829004,0.8755081426002119,0.8904108050406049,0.7886273005528888,0.8755081426002119,0.8755081426002119,0.7290865719049814,0.8755081426002119,0.8778483661130123
xgBoostAdv0Layer_4,0.7963364458350785,0.6858672378694559,0.7963364458350785,0.8597461849498795,0.747856280680044,0.7963364458350785,0.7963364458350785,0.6930822947129073,0.7963364458350783,0.8122452605143482
xgBoostAdv1Layer_4,0.8077188400798245,0.6755077417522751,0.8077188400798245,0.8543995555286293,0.7865564513228964,0.8077188400798245,0.8077188400798245,0.7052639577067124,0.8077188400798244,0.8222523917292937
xgBoostAdv2Layer_4,0.8723422602182858,0.7460778516806762,0.8723422602182858,0.8891572010197916,0.814691892237824,0.8723422602182858,0.8723422602182858,0.7408603530390825,0.8723422602182858,0.8724053460396933
xgBoostAdv3Layer_4,0.8659981768459435,0.7397759365768921,0.8659981768459435,0.8780679438595055,0.8054833074033139,0.8659981768459435,0.8659981768459435,0.7358556356862087,0.8659981768459435,0.8629121523821423
xgBoostAdv4Layer_4,0.8659981768459435,0.7534713663959275,0.8659981768459435,0.8727374199855532,0.8027062371202838,0.8659981768459435,0.8659981768459435,0.7467568393113487,0.8659981768459435,0.8593628230282905
xgBoostAdv6Layer_4,0.8495158786863436,0.7386863383670793,0.8495158786863436,0.8642760459158493,0.7796710513838704,0.8495158786863436,0.8495158786863436,0.7139134728225517,0.8495158786863437,0.8424210893870512
xgBoostAdv7Layer_4,0.8488629924363744,0.7506061257506425,0.8488629924363744,0.8653486442482584,0.7718302354301845,0.8488629924363744,0.8488629924363744,0.7101330445985089,0.8488629924363744,0.837080706275443
xgBoostLSTM0Layer_4,0.8211338047254182,0.658791087593089,0.8211338047254182,0.8627763957284137,0.7067359874639969,0.8211338047254182,0.8211338047254182,0.6677922157822218,0.8211338047254182,0.8330203959491874
xgBoostLSTM1Layer_4,0.8378255192293479,0.6766567003947871,0.8378255192293479,0.8530340768967363,0.7008359042482104,0.8378255192293479,0.8378255192293479,0.6763213258886953,0.8378255192293479,0.8423854952393629
xgBoostLSTM2Layer_4,0.8464485451723374,0.6737610388665547,0.8464485451723374,0.8499289131935686,0.6797925836071723,0.8464485451723374,0.8464485451723374,0.6660880994680957,0.8464485451723374,0.8453114209275405
xgBoostLSTM3Layer_4,0.8496883392052034,0.6695783801421265,0.8496883392052034,0.8543029836947188,0.6665192826615871,0.8496883392052034,0.8496883392052034,0.6582551350513823,0.8496883392052034,0.8490888685493333
xgBoostLSTM4Layer_4,0.8526817610682698,0.6857947412729778,0.8526817610682698,0.8530542418150713,0.679933409723669,0.8526817610682698,0.8526817610682698,0.6733188093247572,0.8526817610682698,0.8489248751905427
xgBoostLSTM6Layer_4,0.8756929217275616,0.6210800650917212,0.8756929217275616,0.8529824075839215,0.6101351324885376,0.8756929217275616,0.8756929217275616,0.6097748368270808,0.8756929217275616,0.8597229759969899
xgBoostLSTM7Layer_4,0.8760501613737712,0.6230116239101509,0.8760501613737712,0.8542788216306754,0.6104763677077747,0.8760501613737712,0.8760501613737712,0.6108513444724837,0.8760501613737712,0.8604978460482741
MLP_6,0.8082608588533841,0.5466601463288875,0.8082608588533841,0.780782589150443,0.4935889230145637,0.8082608588533841,0.8082608588533841,0.5130237634629765,0.8082608588533841,0.7885670220931995
Adv_6,0.7889329621325974,0.4138036325599617,0.7889329621325974,0.7408486146681983,0.4154512494400359,0.7889329621325974,0.7889329621325974,0.4085042545545896,0.7889329621325976,0.7587379280214297
Wht_6,0.7531843602946611,0.3502195773041153,0.7531843602946611,0.6912952157998462,0.34034783281906633,0.7531843602946611,0.7531843602946611,0.3409409505641225,0.753184360294661,0.7162971909919466
QVK_6,0.8009928798442928,0.4377970291603672,0.8009928798442928,0.7621898034128244,0.4406330997230533,0.8009928798442928,0.8009928798442928,0.4240886919938391,0.8009928798442928,0.7724387069152238
LSTM_6,0.8217250979329375,0.5403302644217243,0.8217250979329375,0.8100150231794471,0.511341914448405,0.8217250979329375,0.8217250979329375,0.5018185487437521,0.8217250979329376,0.8011170301029698
Transformer_6,0.8433319372243712,0.5834447336793009,0.8433319372243712,0.8273466137924329,0.5249137203297644,0.8433319372243712,0.8433319372243712,0.5389537015824275,0.8433319372243712,0.8252691265513696
randomForest_6,0.8496883392052034,0.6512393374100418,0.8496883392052034,0.8669066535059196,0.7108347799044616,0.8496883392052034,0.8496883392052034,0.6582605592688732,0.8496883392052034,0.8505474357316286
xgBoost_6,0.8627460642045874,0.6469461438826921,0.8627460642045874,0.8757159250286388,0.6762207186676165,0.8627460642045874,0.8627460642045874,0.6442176729623951,0.8627460642045874,0.8628943882677469
deepForest_6,0.8414718273423833,0.6291847776180178,0.8414718273423833,0.8650729217926015,0.6659079856754647,0.8414718273423833,0.8414718273423833,0.623049654182715,0.8414718273423833,0.8437012921165971
xgBoostAdv0Layer_6,0.7580994850821651,0.6571107116215367,0.7580994850821651,0.8374057985575246,0.7432986858823366,0.7580994850821651,0.7580994850821651,0.6709587425638487,0.7580994850821651,0.7792612875067925
xgBoostAdv1Layer_6,0.8371849515878687,0.6548934584387288,0.8371849515878687,0.8566427625877548,0.7546688867259093,0.8371849515878687,0.8371849515878687,0.6768595088428117,0.8371849515878687,0.8434312971463338
xgBoostAdv2Layer_6,0.7950799477691,0.5905365352676682,0.7950799477691,0.7989197707420367,0.6698688069378779,0.7950799477691,0.7950799477691,0.6117021713502183,0.7950799477691,0.7947310352474124
xgBoostAdv3Layer_6,0.8049841089950479,0.5966007719995917,0.8049841089950479,0.7994490711453208,0.6778714974716625,0.8049841089950479,0.8049841089950479,0.6111198910919639,0.8049841089950479,0.7971527693156883
xgBoostAdv4Layer_6,0.8003892680282835,0.5835556993646646,0.8003892680282835,0.7911712196703093,0.6402298643024663,0.8003892680282835,0.8003892680282835,0.5880201036515921,0.8003892680282835,0.7888217788970386
xgBoostAdv6Layer_6,0.8055384463770973,0.528947199611538,0.8055384463770973,0.7970124470396146,0.5567389010179122,0.8055384463770973,0.8055384463770973,0.5225964691545488,0.8055384463770973,0.7924454931073222
xgBoostAdv7Layer_6,0.8054152602921973,0.5284122320882473,0.8054152602921973,0.7969766171430471,0.556177273122206,0.8054152602921973,0.8054152602921973,0.5222361324029332,0.8054152602921973,0.7925555861981463
