,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
MLP_2,0.9185863164896894,0.9382897055815944,0.9185863164896894,0.9248777639377116,0.8861081064526972,0.9185863164896894,0.9185863164896894,0.9051052885798051,0.9185863164896894,0.9160251106446669
MLPSimpleLayers_2,0.9190790608292888,0.9387135968625692,0.9190790608292888,0.9253294079344428,0.8867593365059027,0.9190790608292888,0.9190790608292888,0.9057061494611752,0.9190790608292888,0.9165476082079392
Adv_2,0.9182167582349898,0.9409078072412316,0.9182167582349898,0.9257975122610956,0.8840249629699242,0.9182167582349898,0.9182167582349898,0.9042530916233796,0.9182167582349898,0.915416457750348
AdvSimpleLayers_2,0.9206558427160068,0.940820523504714,0.9206558427160068,0.9270885498643524,0.8884235437830044,0.9206558427160068,0.9206558427160068,0.9075255072456196,0.9206558427160068,0.918164045095764
Wht_2,0.9021286555470694,0.9319205075765756,0.9021286555470694,0.9134808377124508,0.8604268339488145,0.9021286555470694,0.9021286555470694,0.8835659249719807,0.9021286555470694,0.897759573032111
WhtSimpleLayers_2,0.9233659365838036,0.9437748660617716,0.9233659365838036,0.9298321209219632,0.8916527699855332,0.9233659365838036,0.9233659365838036,0.910740045961044,0.9233659365838036,0.9209893032141464
QVK_2,0.919584123777378,0.932305804643625,0.919584123777378,0.9231178416354344,0.8915509325368148,0.919584123777378,0.919584123777378,0.9073008533920814,0.9195841237773782,0.9176030047703958
QVKSimpleLayers_2,0.929549878045776,0.947963375565548,0.929549878045776,0.9350463044494984,0.9004382956662961,0.929549878045776,0.929549878045776,0.9183572463765752,0.929549878045776,0.9275863172515618
LSTM_2,0.922060164083865,0.9410353663536736,0.922060164083865,0.9279640057150906,0.8908349021895168,0.922060164083865,0.922060164083865,0.9093655080010488,0.9220601640838652,0.9197214658811882
LSTMSimpleLayers_2,0.9283672916307374,0.9457640987658524,0.9283672916307374,0.9334879622122196,0.8995654906514596,0.9283672916307374,0.9283672916307374,0.9170777883174724,0.9283672916307374,0.926419057977138
Transformer_2,0.9239449111828328,0.9300159114437684,0.9239449111828328,0.9252765996613876,0.9016853884730656,0.9239449111828328,0.9239449111828328,0.9134516410777042,0.9239449111828328,0.922652278107546
TransformerSimpleLayers_2,0.9307571016777944,0.9428994041702012,0.9307571016777944,0.9338866810503508,0.9057927055008684,0.9307571016777944,0.9307571016777944,0.920557746322541,0.9307571016777946,0.92924825490454
randomForest_2,0.962181871935746,0.9599315833411064,0.962181871935746,0.9621026808391424,0.9564197885408472,0.962181871935746,0.962181871935746,0.9581360728816996,0.962181871935746,0.9621094079488848
xgBoost_2,0.9693513020769174,0.9697193461016584,0.9693513020769174,0.9693761190129628,0.9624846811821616,0.9693513020769174,0.9693513020769174,0.9659431599818464,0.9693513020769174,0.969232388707868
deepForest_2,0.962305058020646,0.9604282938682306,0.962305058020646,0.9622258561944582,0.956165770424088,0.962305058020646,0.962305058020646,0.9582390933178336,0.962305058020646,0.9622174142493182
xgBoostAdv0Layer_2,0.8392421592056961,0.8332861970150138,0.8392421592056961,0.8755094713095993,0.8668637116925281,0.8392421592056961,0.8392421592056961,0.8342120778084174,0.8392421592056961,0.8430285938869292
xgBoostAdv0LayerSimpleLayers_2,0.8477543176722757,0.8399471463422538,0.8477543176722757,0.8804437838983995,0.8735922933431379,0.8477543176722757,0.8477543176722757,0.8425337413628495,0.8477543176722757,0.8512873279437857
