,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
LSTMSimpleLayers_2,0.9966396445997,0.9966522923286428,0.9966396445997,0.9966621435748042,0.996649504050882,0.9966396445997,0.9966396445997,0.9966396440134884,0.9966396445997,0.9966396398833598
LSTMSimpleLayersMemPos_2,0.9941715869610616,0.9942219378152526,0.9941715869610616,0.9942389408270164,0.9941886878170668,0.9941715869610616,0.9941715869610616,0.9941715384249472,0.9941715869610616,0.9941714889308836
xgBoost_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostMemPos_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0LayerSimpleLayers_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0Layer_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSTMSimpleLayers_4,0.8873046912080192,0.6407648589460108,0.8873046912080192,0.8270720452312922,0.7484906977139357,0.8873046912080192,0.8873046912080192,0.6795314760203104,0.8873046912080192,0.8484840013232042
LSTMSimpleLayersMemPos_4,0.8153133483948133,0.6434282354549197,0.8153133483948133,0.8279800509917109,0.6759808036233763,0.8153133483948133,0.8153133483948133,0.6381278684509145,0.8153133483948134,0.8066431648466902
xgBoost_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostMemPos_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0LayerSimpleLayers_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0Layer_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSTMSimpleLayers_6,0.6208557198817863,0.3301621529964083,0.6208557198817863,0.5930428519467383,0.3829528368749215,0.6208557198817863,0.6208557198817863,0.3527493656396031,0.6208557198817863,0.6047475965482042
LSTMSimpleLayersMemPos_6,0.7101930780475766,0.3516085837911414,0.7101930780475766,0.6136793498669421,0.5029538272517384,0.7101930780475766,0.7101930780475766,0.3972511553266867,0.7101930780475766,0.6432042010583604
xgBoost_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostMemPos_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0LayerSimpleLayers_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0Layer_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSTMSimpleLayers_8,0.6292977426765136,0.2198097517040448,0.6292977426765136,0.5728216843717081,0.31569510985422233,0.6292977426765136,0.6292977426765136,0.24812995985412306,0.6292977426765136,0.5910294960934255
LSTMSimpleLayersMemPos_8,0.6406444794613306,0.2566993903591864,0.6406444794613306,0.5823330725637561,0.3742999209622801,0.6406444794613306,0.6406444794613306,0.2953806563528997,0.6406444794613306,0.6024269675258791
xgBoost_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostMemPos_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0LayerSimpleLayers_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgBoostLSTM0Layer_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
