,acc,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht,f1_macro,f1_micro,f1_wht
MLP_2,0.8716677044266496,0.8970528578549508,0.8716677044266496,0.8944582989542766,0.8682000293435947,0.8716677044266496,0.8716677044266496,0.8687424824911347,0.8716677044266496,0.8692849941881816
Adv_2,0.880421089213571,0.9026950594531888,0.880421089213571,0.9002575691201903,0.8772078811844475,0.880421089213571,0.880421089213571,0.8780184961237223,0.880421089213571,0.8784924703279928
Wht_2,0.8754688020388364,0.8994993403033071,0.8754688020388364,0.8969714799841132,0.8721105662513359,0.8754688020388364,0.8754688020388364,0.8727776625558958,0.8754688020388364,0.8732899543411787
QVK_2,0.8299931942252277,0.8718014074424243,0.8299931942252277,0.8685358613142623,0.8253356344391178,0.8299931942252277,0.8299931942252277,0.8235510535982103,0.8299931942252277,0.8244845061296686
LSTM_2,0.8344821095005721,0.8417420701501173,0.8344821095005721,0.840541391596192,0.8324194599980943,0.8344821095005721,0.8344821095005721,0.8328920064072863,0.8344821095005719,0.8333433204597412
Transformer_2,0.8755556842699721,0.8808613088258854,0.8755556842699721,0.8797937068314732,0.8739375973605208,0.8755556842699721,0.8755556842699721,0.874699974810832,0.8755556842699721,0.8749866607203949
randomForest_2,0.9488770471625712,0.9502341683371642,0.9488770471625712,0.9497151013866098,0.9482185493792828,0.9488770471625712,0.9488770471625712,0.9487487296718216,0.9488770471625709,0.9488197304075512
xgBoost_2,0.947465210906616,0.9486230064540296,0.947465210906616,0.9481551905016512,0.9468591926588804,0.947465210906616,0.947465210906616,0.9473433647626268,0.947465210906616,0.9474134941507386
deepForest_2,0.9500861582125428,0.951933623120193,0.9500861582125428,0.9513026204579159,0.949308423198478,0.9500861582125428,0.9500861582125428,0.9499381498657118,0.9500861582125428,0.9500135139027666
xgBoostAdv0Layer_2,0.8942064032204347,0.8979342680702099,0.8942064032204347,0.8992093445626557,0.8956302144272146,0.8942064032204347,0.8942064032204347,0.8941313290833924,0.8942064032204347,0.8940532748419434
xgBoostAdv1Layer_2,0.9157676769139432,0.9158208082934676,0.9157676769139432,0.916244088283678,0.9161347703894972,0.9157676769139432,0.9157676769139432,0.9157553312511312,0.9157676769139432,0.9157835667861748
xgBoostAdv2Layer_2,0.9026339796405972,0.9025258674624856,0.9026339796405972,0.9027755178061442,0.9027767474971692,0.9026339796405972,0.9026339796405972,0.9025956461000156,0.9026339796405972,0.9026491451727104
xgBoostAdv3Layer_2,0.9319350120911104,0.9334960565877058,0.9319350120911104,0.9329424084560992,0.9311848788690404,0.9319350120911104,0.9319350120911104,0.9317441842659792,0.9319350120911104,0.9318441056138228
xgBoostAdv4Layer_2,0.9219652760682896,0.9230930958562455,0.9219652760682896,0.9226503050072574,0.92131201205019,0.9219652760682896,0.9219652760682896,0.921776671894882,0.9219652760682896,0.9218830155043054
xgBoostAdv6Layer_2,0.8959006067275808,0.8981407422685704,0.8959006067275808,0.8974836175133737,0.8948967441664643,0.8959006067275808,0.8959006067275808,0.8955113611751644,0.8959006067275808,0.8956879299761655
xgBoostAdv7Layer_2,0.8941629621048669,0.8961939337821287,0.8941629621048669,0.8955771583934813,0.8932023017385842,0.8941629621048669,0.8941629621048669,0.8937878610473561,0.8941629621048669,0.8939626157310696
xgBoostLSTM0Layer_2,0.8490928047032248,0.8637815728568106,0.8490928047032248,0.8660061213486643,0.8518932920954478,0.8490928047032248,0.8490928047032248,0.848179423046753,0.8490928047032248,0.847853391920612
xgBoostLSTM1Layer_2,0.844451845523393,0.849442887753424,0.844451845523393,0.8508065449045842,0.8461199460138509,0.844451845523393,0.844451845523393,0.8442406394973407,0.844451845523393,0.8440818404718543
xgBoostLSTM2Layer_2,0.8127253507870082,0.8168825360780654,0.8127253507870082,0.8180971660102935,0.8142780364988961,0.8127253507870082,0.8127253507870082,0.8125144859048823,0.8127253507870082,0.8123404040160115
xgBoostLSTM3Layer_2,0.823614590422682,0.8282400803211966,0.823614590422682,0.8295274073497205,0.8252410281079995,0.823614590422682,0.823614590422682,0.8233870098812764,0.823614590422682,0.8232114818477275
xgBoostLSTM4Layer_2,0.8161137578013004,0.8195539309264784,0.8161137578013004,0.8206833284222443,0.8175246043972333,0.8161137578013004,0.8161137578013004,0.8159661209036508,0.8161137578013004,0.8158218050814086
xgBoostLSTM6Layer_2,0.8136593347717169,0.8193327756182934,0.8136593347717169,0.8207183445158096,0.8154705194993057,0.8136593347717169,0.8136593347717169,0.8133167184857759,0.8136593347717169,0.8130952946768459
xgBoostLSTM7Layer_2,0.8119361705208591,0.8182908678408287,0.8119361705208591,0.8197423289895306,0.8138547634228176,0.8119361705208591,0.8119361705208591,0.8115239913100332,0.8119361705208591,0.8112799638596231
