,k=8,k=6,k=4,k=2
MLPSimpleLayers,0.3103540427980884,0.3787172358254988,0.6205698366435425,0.9262811892064683
AdvSimpleLayers,0.3731069831924813,0.4065518828148606,0.6564345727699342,0.9308294611304446
WhtSimpleLayers,0.39090964921930654,0.42178718345112026,0.59718097211338,0.9244512499385701
QVKSimpleLayers,0.29791696367277587,0.38306816561604934,0.5900950023993413,0.9183537913101666
LSTMSimpleLayers,0.3091555179279826,0.4297032011445973,0.5873097504672572,0.930254723379266
TransformerSimpleLayers,0.3677123642652142,0.3882537979804958,0.6916548754109811,0.9252140198094597
randomForest,0.5668160668269406,0.6513869370185534,0.7798042722641757,0.9653537862230813
xgBoost,0.5732488678344086,0.6510974399145547,0.7797069242265943,0.9669817271745368
deepForest,0.5711113833881473,0.6458295403913524,0.7799641353083135,0.9653126928910147
xgBoostAdv0Layer,0.5620239515720906,0.6283827561908809,0.7625211317887247,0.911135769017327
xgBoostLSTM0Layer,0.5942250700091817,0.6692411855023813,0.7850483661169019,0.9152960844615382
xgBoostLSTM0LayerSimpleLayers,0.5693383937725803,0.6604685852823926,0.7654894703225948,0.9342897702301515
