,2f1_macro,2acc,4f1_macro,4acc,6f1_macro,6acc,8f1_macro,8acc
MLPSimpleLayers,0.9262811892064683,0.9328456678714456,0.6205698366435425,0.8281016198783778,0.3787172358254988,0.7468484981028212,0.3103540427980884,0.7304336230869722
AdvSimpleLayers,0.9308294611304446,0.9367857666831948,0.6564345727699342,0.826451760233685,0.4065518828148606,0.7440566541727972,0.3731069831924813,0.7420039533011112
WhtSimpleLayers,0.9244512499385701,0.9312659267370761,0.59718097211338,0.8210578510689963,0.42178718345112026,0.7506833323342431,0.39090964921930654,0.7403340141812936
QVKSimpleLayers,0.9183537913101666,0.9238984852851252,0.5900950023993413,0.7912807765938884,0.38306816561604934,0.7286057501204355,0.29791696367277587,0.7091984742567815
LSTMSimpleLayers,0.930254723379266,0.9358938480112527,0.5873097504672572,0.8141300354030921,0.4297032011445973,0.7491934489125184,0.3091555179279826,0.725612564720142
TransformerSimpleLayers,0.9252140198094597,0.9313981396436378,0.6916548754109811,0.8358098010298761,0.3882537979804958,0.750908358782473,0.3677123642652142,0.7455228727808247
randomForest,0.9653537862230813,0.9673692619009872,0.7798042722641757,0.8793144669011842,0.6513869370185534,0.8436070244708511,0.5668160668269406,0.8238987781665763
xgBoost,0.9669817271745368,0.9688404309369493,0.7797069242265943,0.8805397535549654,0.6510974399145547,0.8491928932878766,0.5732488678344086,0.831004732631044
deepForest,0.9653126928910147,0.9673796942700593,0.7799641353083135,0.880085130202398,0.6458295403913524,0.8414605167006997,0.5711113833881473,0.8244511615050015
xgBoostAdv0Layer,0.911135769017327,0.9129128484620459,0.7625211317887247,0.8362184523540358,0.6283827561908809,0.7918459694120118,0.5620239515720906,0.7948761571772088
xgBoostAdv0LayerSimpleLayers,0.9008604279454261,0.9029337945499494,0.7671729871475012,0.846607061848236,0.6492206987244887,0.8145069446060679,0.5582449532785566,0.7883461386889336
xgBoostLSTM0Layer,0.9152960844615382,0.9176053184938002,0.7850483661169019,0.8770807351917704,0.6692411855023813,0.81649489977418,0.5942250700091817,0.8173550350376392
xgBoostLSTM0LayerSimpleLayers,0.9342897702301515,0.936572017910226,0.7654894703225948,0.8481962858474681,0.6604685852823926,0.8135203985262667,0.5693383937725803,0.8020388575860977
