,2f1_macro,2acc,4f1_macro,4acc,6f1_macro,6acc,8f1_macro,8acc
MLPSimpleLayers,0.9262811892064683,0.9328456678714456,0.6205698366435425,0.8281016198783778,0.3787172358254988,0.7468484981028212,0.3103540427980884,0.7304336230869722
AdvSimpleLayers,0.9308294611304446,0.9367857666831948,0.6564345727699342,0.826451760233685,0.4065518828148606,0.7440566541727972,0.3731069831924813,0.7420039533011112
WhtSimpleLayers,0.9244512499385701,0.9312659267370761,0.59718097211338,0.8210578510689963,0.42178718345112026,0.7506833323342431,0.39090964921930654,0.7403340141812936
QVKSimpleLayers,0.9183537913101666,0.9238984852851252,0.5900950023993413,0.7912807765938884,0.38306816561604934,0.7286057501204355,0.29791696367277587,0.7091984742567815
LSTMSimpleLayers,0.930254723379266,0.9358938480112527,0.5873097504672572,0.8141300354030921,0.4297032011445973,0.7491934489125184,0.3091555179279826,0.725612564720142
TransformerSimpleLayers,0.9252140198094597,0.9313981396436378,0.6916548754109811,0.8358098010298761,0.3882537979804958,0.750908358782473,0.3677123642652142,0.7455228727808247
rotationForest,0.9439717093530456,0.9469535674526876,0.7291514866558267,0.8448153318823303,0.617412812481234,0.811497459166075,0.5447399789198485,0.7924952749165834
randomForest,0.9653537862230813,0.9673692619009872,0.7798042722641757,0.8793144669011842,0.6513869370185534,0.8436070244708511,0.5668160668269406,0.8238987781665763
xgBoost,0.9669817271745368,0.9688404309369493,0.7797069242265943,0.8805397535549654,0.6510974399145547,0.8491928932878766,0.5732488678344086,0.831004732631044
lightGBM,0.9662288422016028,0.9681932077295036,0.7795371679684235,0.8799252749020282,0.6496532189882124,0.8454774968473208,0.5707865708582044,0.8276027076449624
deepForest,0.9653126928910147,0.9673796942700593,0.7799641353083135,0.880085130202398,0.6458295403913524,0.8414605167006997,0.5711113833881473,0.8244511615050015
deepForestCost,0.0,0.0,0.775091520172182,0.8787808058574486,0.6492087068881629,0.8426527566376721,0.5738596280918635,0.8267147716742071
xgBoostAdv0LayerSimpleLayers,0.9008604279454261,0.9029337945499494,0.7671729871475012,0.846607061848236,0.6492206987244887,0.8145069446060679,0.5582449532785566,0.7883461386889336
xgBoostLSTM0Layer,0.9152960844615382,0.9176053184938002,0.7850483661169019,0.8770807351917704,0.6692411855023813,0.81649489977418,0.5942250700091817,0.8173550350376392
xgBoostLSTM0LayerSimpleLayers,0.9215171102110374,0.9237447441533794,0.7824349607017638,0.8568746925120255,0.6427250321600074,0.8098836282144845,0.5674695825895729,0.7794954279628549
