,2prec_macro,2recall_macro,4prec_macro,4recall_macro,6prec_macro,6recall_macro,8prec_macro,8recall_macro
MLPSimpleLayers,0.9480237522780873,0.9177818363549406,0.6929826170451042,0.6202929927252755,0.4120480314784775,0.41180783537617577,0.3246095196407027,0.3504540361054664
AdvSimpleLayers,0.9497122927412459,0.922759914941039,0.7093440894286721,0.6510338894428467,0.4324146836479854,0.440105201216687,0.40750400628635725,0.38681754820922637
WhtSimpleLayers,0.9471429324018876,0.9159604161165521,0.6238720097872706,0.6060366779448759,0.44402192406458313,0.4629637323736329,0.44079199075201975,0.41342495847486843
QVKSimpleLayers,0.9340056277293294,0.9119082486423306,0.7115164846012867,0.5962446461846881,0.47733896776352935,0.41933411025975714,0.3193639214607185,0.3444054086978195
LSTMSimpleLayers,0.9432178766648701,0.9233424273368586,0.6271692410535746,0.6375502032941439,0.4567983927770256,0.45342460640850346,0.3418085286119034,0.3445589030256851
TransformerSimpleLayers,0.9404813513680779,0.9182918036590789,0.7274158304722153,0.7206924228939928,0.41842987383434854,0.4206902935765578,0.4016906421673028,0.39254250009938046
randomForest,0.9688451075025495,0.962832335614023,0.785090620990417,0.7937023381864715,0.6643748206462531,0.6680610638110421,0.5799916231197081,0.5750479712651932
xgBoost,0.9706304631304872,0.9642635327994536,0.7862265252661667,0.7946156671656978,0.6678212488260837,0.6640721104254169,0.5864348404024409,0.5834425461089651
deepForest,0.9692517263359647,0.9625399276149239,0.7849481402727827,0.7941265156139824,0.6604256153260345,0.6629755331115992,0.5813373941375938,0.5824121599486075
xgBoostAdv0Layer,0.9119450516688244,0.9221551382727272,0.77915504558321,0.7837163800780181,0.6664878035868856,0.6687154611130879,0.5872621608219709,0.5840456119958656
xgBoostAdv0LayerSimpleLayers,0.9047886344834556,0.9124230735940738,0.7799117055333976,0.7888062730305719,0.6853362593459842,0.6854707014802904,0.5868900076027327,0.5830338597767079
xgBoostLSTM0Layer,0.915106442112852,0.9228238798394813,0.7844022937234175,0.7958910063088381,0.6852434597761317,0.6974958643042583,0.6062388743518445,0.6036588699556246
xgBoostLSTM0LayerSimpleLayers,0.9322204895128401,0.939535913555138,0.7745562789205245,0.798836447361062,0.6750478671561067,0.6919493054632183,0.5978198688651085,0.5942677288889086
