,k=8,k=6,k=4,k=2
MLPSimpleLayers,0.3504540361054664,0.41180783537617577,0.6202929927252755,0.9177818363549406
AdvSimpleLayers,0.38681754820922637,0.440105201216687,0.6510338894428467,0.922759914941039
WhtSimpleLayers,0.41342495847486843,0.4629637323736329,0.6060366779448759,0.9159604161165521
QVKSimpleLayers,0.3444054086978195,0.41933411025975714,0.5962446461846881,0.9119082486423306
LSTMSimpleLayers,0.3445589030256851,0.45342460640850346,0.6375502032941439,0.9233424273368586
TransformerSimpleLayers,0.39254250009938046,0.4206902935765578,0.7206924228939928,0.9182918036590789
randomForest,0.5750479712651932,0.6680610638110421,0.7937023381864715,0.962832335614023
xgBoost,0.5834425461089651,0.6640721104254169,0.7946156671656978,0.9642635327994536
deepForest,0.5824121599486075,0.6629755331115992,0.7941265156139824,0.9625399276149239
xgBoostAdv0Layer,0.5840456119958656,0.6687154611130879,0.7837163800780181,0.9221551382727272
xgBoostLSTM0Layer,0.6036588699556246,0.6974958643042583,0.7958910063088381,0.9228238798394813
xgBoostLSTM0LayerSimpleLayers,0.5942677288889086,0.6919493054632183,0.798836447361062,0.939535913555138
