,acc,f1_macro,f1_micro,f1_wht,prec_macro,prec_micro,prec_wht,recall_macro,recall_micro,recall_wht
MLP_2,0.9271424813603192,,,,,,,,,
Adv_2,0.8867660202931112,,,,,,,,,
Wht_2,0.9218158634410959,,,,,,,,,
QVK_2,0.9204270328787197,,,,,,,,,
LSTM_2,0.8787626327820212,,,,,,,,,
Transformer_2,0.9243412607495095,,,,,,,,,
randomForest_2,0.9673692619009872,,,,,,,,,
xgBoost_2,0.9688404309369493,,,,,,,,,
deepForest_2,0.9673796942700593,,,,,,,,,
xgBoostAdv0Layer_2,0.9129128484620459,,,,,,,,,
xgBoostAdv1Layer_2,0.8558565312710499,,,,,,,,,
xgBoostAdv2Layer_2,0.8801399472333798,,,,,,,,,
xgBoostAdv3Layer_2,0.8859567712824922,,,,,,,,,
xgBoostAdv4Layer_2,0.8708734965133367,,,,,,,,,
xgBoostAdv6Layer_2,0.8922409922273663,,,,,,,,,
xgBoostAdv7Layer_2,0.8940233777655728,,,,,,,,,
xgBoostLSTM0Layer_2,0.9176053184938002,,,,,,,,,
xgBoostLSTM1Layer_2,0.8943296047652999,,,,,,,,,
xgBoostLSTM2Layer_2,0.8953197598370806,,,,,,,,,
xgBoostLSTM3Layer_2,0.892741899514521,,,,,,,,,
xgBoostLSTM4Layer_2,0.8857849534249501,,,,,,,,,
xgBoostLSTM6Layer_2,0.864405109428338,,,,,,,,,
xgBoostLSTM7Layer_2,0.8732625303905279,,,,,,,,,
MLP_4,0.8399640385565524,,,,,,,,,
Adv_4,0.8289390644204815,,,,,,,,,
Wht_4,0.8291185509032556,,,,,,,,,
QVK_4,0.8151509677269413,,,,,,,,,
LSTM_4,0.8596761711722704,,,,,,,,,
Transformer_4,0.8234181917355198,,,,,,,,,
randomForest_4,0.8793144669011842,,,,,,,,,
xgBoost_4,0.8805397535549654,,,,,,,,,
deepForest_4,0.880085130202398,,,,,,,,,
xgBoostAdv0Layer_4,0.8362184523540358,,,,,,,,,
xgBoostAdv1Layer_4,0.858776855731386,,,,,,,,,
xgBoostAdv2Layer_4,0.868195990358081,,,,,,,,,
xgBoostAdv3Layer_4,0.8613839075042938,,,,,,,,,
xgBoostAdv4Layer_4,0.8574920491615803,,,,,,,,,
xgBoostAdv6Layer_4,0.8514937783131233,,,,,,,,,
xgBoostAdv7Layer_4,0.8509680904376248,,,,,,,,,
xgBoostLSTM0Layer_4,0.8770807351917704,,,,,,,,,
xgBoostLSTM1Layer_4,0.8435066786066696,,,,,,,,,
xgBoostLSTM2Layer_4,0.834543956596435,,,,,,,,,
xgBoostLSTM3Layer_4,0.8450021030908524,,,,,,,,,
xgBoostLSTM4Layer_4,0.8385019392653396,,,,,,,,,
xgBoostLSTM6Layer_4,0.8460582628162431,,,,,,,,,
xgBoostLSTM7Layer_4,0.8518715942242027,,,,,,,,,
MLP_6,0.7608554869455104,,,,,,,,,
Adv_6,0.7357852072234276,,,,,,,,,
Wht_6,0.7264619051082771,,,,,,,,,
QVK_6,0.7300426617582438,,,,,,,,,
LSTM_6,0.7594183806841489,,,,,,,,,
Transformer_6,0.7640427877459327,,,,,,,,,
randomForest_6,0.8436070244708511,,,,,,,,,
xgBoost_6,0.8491928932878766,,,,,,,,,
deepForest_6,0.8414605167006997,,,,,,,,,
xgBoostAdv0Layer_6,0.7918459694120118,,,,,,,,,
xgBoostAdv1Layer_6,0.83334283781599,,,,,,,,,
xgBoostAdv2Layer_6,0.8212079435360339,,,,,,,,,
xgBoostAdv3Layer_6,0.8179755722462345,,,,,,,,,
xgBoostAdv4Layer_6,0.8167907260247173,,,,,,,,,
xgBoostAdv6Layer_6,0.8184001482389665,,,,,,,,,
