,acc,prec_macro,recall_macro,f1_macro
xgBoostLSTM0Layer_2,0.9176053184938002,0.915106442112852,0.9228238798394813,0.9152960844615382
xgBoostLSTM1Layer_2,0.8943296047652999,0.897414254484929,0.9033765133981625,0.8927714085394293
xgBoostLSTM2Layer_2,0.8953197598370806,0.8947180477805783,0.8985720109745049,0.8931045367471229
xgBoostLSTM3Layer_2,0.892741899514521,0.8933286040969621,0.8951854574970978,0.890542470107079
xgBoostLSTM4Layer_2,0.8857849534249501,0.8856558935763744,0.888801018558799,0.8834956980314693
xgBoostLSTM5Layer_2,0.8882323108466429,0.8863867348730582,0.8883880606378654,0.8850520041245021
xgBoostLSTM6Layer_2,0.864405109428338,0.8617868931667229,0.8588094066342326,0.8589484769748568
xgBoostLSTM7Layer_2,0.8732625303905279,0.8213333576478954,0.845955680462876,0.8292550706722391
xgBoostLSTM0Layer_4,0.8770807351917704,0.7844022937234175,0.7958910063088381,0.7850483661169019
xgBoostLSTM1Layer_4,0.8435066786066696,0.7432344237352341,0.7603144836024551,0.7336845905266719
xgBoostLSTM2Layer_4,0.834543956596435,0.7330534790585715,0.7329530847554194,0.7151724760209127
xgBoostLSTM3Layer_4,0.8450021030908524,0.7351999705942847,0.728597001486444,0.7146116860013875
xgBoostLSTM4Layer_4,0.8385019392653396,0.7349030982090659,0.730477289696608,0.7143532465604722
xgBoostLSTM5Layer_4,0.8399717357640754,0.7271355971374613,0.7228573233086869,0.706066525633287
xgBoostLSTM6Layer_4,0.8460582628162431,0.7277794100886039,0.7289270679935981,0.7099197485427168
xgBoostLSTM7Layer_4,0.8518715942242027,0.7317801972539705,0.7300531543936651,0.7131010296545499
xgBoostLSTM0Layer_6,0.81649489977418,0.6852434597761317,0.6974958643042583,0.6692411855023813
xgBoostLSTM1Layer_6,0.7895588704916686,0.6425473135241844,0.6680454839318674,0.6296508318900788
xgBoostLSTM2Layer_6,0.797528952924643,0.5968731058177443,0.605520846528495,0.5740336212830145
xgBoostLSTM3Layer_6,0.7961350094733765,0.5788527027090314,0.5941051296081633,0.5609331723390073
xgBoostLSTM4Layer_6,0.7994187456793433,0.6059498762407489,0.595332044392279,0.5630570603079894
xgBoostLSTM5Layer_6,0.7980968837016569,0.5789183959500854,0.5911488157528608,0.5521015935099073
xgBoostLSTM6Layer_6,0.8012171446912074,0.5821243183877812,0.5910517668193994,0.5533493988785603
xgBoostLSTM7Layer_6,0.8019122381346762,0.5835960820370606,0.5906785660810001,0.5530527437568266
xgBoostLSTM0Layer_8,0.8173550350376392,0.6062388743518445,0.6036588699556246,0.5942250700091817
xgBoostLSTM1Layer_8,0.8202603831315426,0.5848449980008069,0.6017405871898329,0.5737095011953867
xgBoostLSTM2Layer_8,0.8145994954405303,0.6039679208766601,0.5922468862483067,0.5826875906840256
xgBoostLSTM3Layer_8,0.8172974832877536,0.6044688054202144,0.5998505516551451,0.585406548536475
xgBoostLSTM4Layer_8,0.806336111350944,0.6030625169869638,0.589760412125291,0.5832461039568443
xgBoostLSTM5Layer_8,0.794372208979886,0.5984372631039041,0.592978432879835,0.5734287805522059
xgBoostLSTM6Layer_8,0.7870551559439639,0.5994656102577253,0.5847501724670834,0.5667872939439581
xgBoostLSTM7Layer_8,0.8027032108114351,0.6063263341492963,0.5826717205404702,0.5702829777340823
