,acc,prec_macro,recall_macro,f1_macro
MLP_2,0.9271424813603192,0.9442612374909515,0.9111464107950457,0.9197728753634141
MLPSimpleLayers_2,0.9328456678714456,0.9480237522780873,0.9177818363549406,0.9262811892064683
Adv_2,0.8867660202931112,0.8439392764666508,0.8542235279787711,0.8409843450056359
AdvSimpleLayers_2,0.9367857666831948,0.9497122927412459,0.922759914941039,0.9308294611304446
Wht_2,0.9218158634410959,0.9418346451182007,0.902655698997712,0.9123731964707918
WhtSimpleLayers_2,0.9312659267370761,0.9471429324018876,0.9159604161165521,0.9244512499385701
QVK_2,0.9204270328787197,0.9308767052881102,0.9092724462611673,0.9140454425473976
QVKSimpleLayers_2,0.9238984852851252,0.9340056277293294,0.9119082486423306,0.9183537913101666
LSTM_2,0.8787626327820212,0.8326103172689292,0.8468875212335187,0.833235251051318
LSTMSimpleLayers_2,0.9358938480112527,0.9432178766648701,0.9233424273368586,0.930254723379266
Transformer_2,0.9243412607495095,0.9313717330199585,0.9112833848748307,0.9176645639336195
TransformerSimpleLayers_2,0.9313981396436378,0.9404813513680779,0.9182918036590789,0.9252140198094597
randomForest_2,0.9673692619009872,0.9688451075025495,0.962832335614023,0.9653537862230813
xgBoost_2,0.9688404309369493,0.9706304631304872,0.9642635327994536,0.9669817271745368
deepForest_2,0.9673796942700593,0.9692517263359647,0.9625399276149239,0.9653126928910147
xgBoostAdv0Layer_2,0.9129128484620459,0.9119450516688244,0.9221551382727272,0.911135769017327
xgBoostAdv0LayerSimpleLayers_2,0.9029337945499494,0.9047886344834556,0.9124230735940738,0.9008604279454261
xgBoostAdv1LayerSimpleLayers_2,0.9557882365934747,0.9534462756990569,0.954259095670081,0.9535616072169578
xgBoostAdv2LayerSimpleLayers_2,0.94122192352099,0.9416416325812514,0.9357822745942808,0.9379613933205855
xgBoostLSTM0Layer_2,0.9176053184938002,0.915106442112852,0.9228238798394813,0.9152960844615382
xgBoostLSTM0LayerSimpleLayers_2,0.936572017910226,0.9322204895128401,0.939535913555138,0.9342897702301515
xgBoostLSTM1LayerSimpleLayers_2,0.9434530612639641,0.9404246945919444,0.9430679582573495,0.94099176787961
xgBoostLSTM2LayerSimpleLayers_2,0.9284928696289306,0.9253691605677177,0.9265855948132887,0.925311107938379
MLP_4,0.8399640385565524,0.7606230165386195,0.6597138066760215,0.6767766994246546
MLPSimpleLayers_4,0.8281016198783778,0.6929826170451042,0.6202929927252755,0.6205698366435425
Adv_4,0.8289390644204815,0.7157880397467636,0.6629189271316825,0.6630029463820167
AdvSimpleLayers_4,0.826451760233685,0.7093440894286721,0.6510338894428467,0.6564345727699342
Wht_4,0.8291185509032556,0.7578095340093328,0.6733161255387561,0.6772632407028998
WhtSimpleLayers_4,0.8210578510689963,0.6238720097872706,0.6060366779448759,0.59718097211338
QVK_4,0.8151509677269413,0.6512046721631889,0.621533332859272,0.6117721088764206
QVKSimpleLayers_4,0.7912807765938884,0.7115164846012867,0.5962446461846881,0.5900950023993413
LSTM_4,0.8596761711722704,0.7527919243319063,0.7102426791236404,0.7118396205107681
LSTMSimpleLayers_4,0.8141300354030921,0.6271692410535746,0.6375502032941439,0.5873097504672572
Transformer_4,0.8234181917355198,0.6005574296869735,0.5959699245936808,0.5778331669115527
TransformerSimpleLayers_4,0.8358098010298761,0.7274158304722153,0.7206924228939928,0.6916548754109811
randomForest_4,0.8793144669011842,0.785090620990417,0.7937023381864715,0.7798042722641757
xgBoost_4,0.8805397535549654,0.7862265252661667,0.7946156671656978,0.7797069242265943
deepForest_4,0.880085130202398,0.7849481402727827,0.7941265156139824,0.7799641353083135
xgBoostAdv0Layer_4,0.8362184523540358,0.77915504558321,0.7837163800780181,0.7625211317887247
xgBoostAdv0LayerSimpleLayers_4,0.846607061848236,0.7799117055333976,0.7888062730305719,0.7671729871475012
xgBoostAdv1LayerSimpleLayers_4,0.8568149296583748,0.7603455986225542,0.7764123393798762,0.7577489378325186
xgBoostAdv2LayerSimpleLayers_4,0.8436767745952576,0.7522562795765988,0.7589890542497221,0.7432218307466626
xgBoostLSTM0Layer_4,0.8770807351917704,0.7844022937234175,0.7958910063088381,0.7850483661169019
xgBoostLSTM0LayerSimpleLayers_4,0.8481962858474681,0.7745562789205245,0.798836447361062,0.7654894703225948
xgBoostLSTM1LayerSimpleLayers_4,0.8272322156999684,0.7390046145226394,0.7573633500337477,0.7239349656598097
xgBoostLSTM2LayerSimpleLayers_4,0.8187383456794723,0.7241779624640298,0.7544725281316421,0.7009102134356539
MLP_6,0.7608554869455104,0.4727332138124927,0.4602765890168044,0.444013073266132
MLPSimpleLayers_6,0.7468484981028212,0.4120480314784775,0.41180783537617577,0.3787172358254988
Adv_6,0.7357852072234276,0.3716515887144349,0.37440923634810863,0.34750327777199264
AdvSimpleLayers_6,0.7440566541727972,0.4324146836479854,0.440105201216687,0.4065518828148606
Wht_6,0.7264619051082771,0.37272619735256174,0.3567208164075655,0.3344025734096709
WhtSimpleLayers_6,0.7506833323342431,0.44402192406458313,0.4629637323736329,0.42178718345112026
QVK_6,0.7300426617582438,0.38004921557254573,0.3675810151774576,0.34718807433366394
QVKSimpleLayers_6,0.7286057501204355,0.47733896776352935,0.41933411025975714,0.38306816561604934
LSTM_6,0.7594183806841489,0.4591991670335185,0.44090281120244584,0.41562564310015787
LSTMSimpleLayers_6,0.7491934489125184,0.4567983927770256,0.45342460640850346,0.4297032011445973
Transformer_6,0.7640427877459327,0.39955899732351335,0.42448842710413776,0.38459042884620764
TransformerSimpleLayers_6,0.750908358782473,0.41842987383434854,0.4206902935765578,0.3882537979804958
