,acc,prec_macro,recall_macro,f1_macro
MLP_2,0.927142481,0.944261237,0.911146411,0.919772875
MLPSimpleLayers_2,0.932845668,0.948023752,0.917781836,0.926281189
Adv_2,0.88676602,0.843939276,0.854223528,0.840984345
AdvSimpleLayers_2,0.936785767,0.949712293,0.922759915,0.930829461
Wht_2,0.921815863,0.941834645,0.902655699,0.912373196
WhtSimpleLayers_2,0.931265927,0.947142932,0.915960416,0.92445125
QVK_2,0.920427033,0.930876705,0.909272446,0.914045443
QVKSimpleLayers_2,0.923898485,0.934005628,0.911908249,0.918353791
LSTM_2,0.878762633,0.832610317,0.846887521,0.833235251
LSTMSimpleLayers_2,0.935893848,0.943217877,0.923342427,0.930254723
LSTMOld_2,0.910242805,0.928164054,0.861627611,0.880666113
Transformer_2,0.924341261,0.931371733,0.911283385,0.917664564
TransformerSimpleLayers_2,0.93139814,0.940481351,0.918291804,0.92521402
randomForest_2,0.967369262,0.968845108,0.962832336,0.965353786
xgBoost_2,0.968840431,0.970630463,0.964263533,0.966981727
xgBoostOld_2,0.954946469,0.953265072,0.943147095,0.947475802
deepForest_2,0.967379694,0.969251726,0.962539928,0.965312693
xgBoostAdv0Layer_2,0.912912848,0.911945052,0.922155138,0.911135769
xgBoostAdv0LayerSimpleLayers_2,0.902933795,0.904788634,0.912423074,0.900860428
xgBoostAdv1LayerSimpleLayers_2,0.955788237,0.953446276,0.954259096,0.953561607
xgBoostAdv2LayerSimpleLayers_2,0.941221924,0.941641633,0.935782275,0.937961393
xgBoostLSTM0Layer_2,0.917605318,0.915106442,0.92282388,0.915296084
xgBoostLSTM0LayerSimpleLayers_2,0.936572018,0.93222049,0.939535914,0.93428977
xgBoostLSTM1LayerSimpleLayers_2,0.943453061,0.940424695,0.943067958,0.940991768
xgBoostLSTM2LayerSimpleLayers_2,0.92849287,0.925369161,0.926585595,0.925311108
MLP_4,0.839964039,0.760623017,0.659713807,0.676776699
MLPSimpleLayers_4,0.82810162,0.692982617,0.620292993,0.620569837
Adv_4,0.828939064,0.71578804,0.662918927,0.663002946
AdvSimpleLayers_4,0.82645176,0.709344089,0.651033889,0.656434573
Wht_4,0.829118551,0.757809534,0.673316126,0.677263241
WhtSimpleLayers_4,0.821057851,0.62387201,0.606036678,0.597180972
QVK_4,0.815150968,0.651204672,0.621533333,0.611772109
QVKSimpleLayers_4,0.791280777,0.711516485,0.596244646,0.590095002
LSTM_4,0.859676171,0.752791924,0.710242679,0.711839621
LSTMSimpleLayers_4,0.814130035,0.627169241,0.637550203,0.58730975
LSTMOld_4,0.779609684,0.583853582,0.530932116,0.537836645
Transformer_4,0.823418192,0.60055743,0.595969925,0.577833167
TransformerSimpleLayers_4,0.835809801,0.72741583,0.720692423,0.691654875
randomForest_4,0.879314467,0.785090621,0.793702338,0.779804272
xgBoost_4,0.880539754,0.786226525,0.794615667,0.779706924
xgBoostOld_4,0.83267578,0.656324152,0.652273801,0.640399673
deepForest_4,0.88008513,0.78494814,0.794126516,0.779964135
xgBoostAdv0Layer_4,0.836218452,0.779155046,0.78371638,0.762521132
xgBoostAdv0LayerSimpleLayers_4,0.846607062,0.779911706,0.788806273,0.767172987
xgBoostAdv1LayerSimpleLayers_4,0.85681493,0.760345599,0.776412339,0.757748938
xgBoostAdv2LayerSimpleLayers_4,0.843676775,0.75225628,0.758989054,0.743221831
xgBoostLSTM0Layer_4,0.877080735,0.784402294,0.795891006,0.785048366
